@relation class
@attribute h7_dst_bytes real
@attribute h7_dst_flow real
@attribute h7_dst_pkt real
@attribute h7_src_bytes real
@attribute h7_src_flow real
@attribute h7_src_pkt real
@attribute h8_dst_bytes real
@attribute h8_dst_flow real
@attribute h8_dst_pkt real
@attribute h8_src_bytes real
@attribute h8_src_flow real
@attribute h8_src_pkt real
@attribute h9_dst_bytes real
@attribute h9_dst_flow real
@attribute h9_dst_pkt real
@attribute h9_src_bytes real
@attribute h9_src_flow real
@attribute h9_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h7_rx_bytes real
@attribute port_h7_rx_crc_err real
@attribute port_h7_rx_drop real
@attribute port_h7_rx_error real
@attribute port_h7_rx_frame_err real
@attribute port_h7_rx_over_err real
@attribute port_h7_rx_pkt real
@attribute port_h7_tx_bytes real
@attribute port_h7_tx_drop real
@attribute port_h7_tx_error real
@attribute port_h7_tx_pkt real
@attribute port_h8_rx_bytes real
@attribute port_h8_rx_crc_err real
@attribute port_h8_rx_drop real
@attribute port_h8_rx_error real
@attribute port_h8_rx_frame_err real
@attribute port_h8_rx_over_err real
@attribute port_h8_rx_pkt real
@attribute port_h8_tx_bytes real
@attribute port_h8_tx_drop real
@attribute port_h8_tx_error real
@attribute port_h8_tx_pkt real
@attribute port_h9_rx_bytes real
@attribute port_h9_rx_crc_err real
@attribute port_h9_rx_drop real
@attribute port_h9_rx_error real
@attribute port_h9_rx_frame_err real
@attribute port_h9_rx_over_err real
@attribute port_h9_rx_pkt real
@attribute port_h9_tx_bytes real
@attribute port_h9_tx_drop real
@attribute port_h9_tx_error real
@attribute port_h9_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0}
@data
15452,0,210,8556,0,105,4725,0,63,3100,0,32,5566,0,87,8288,0,98,63308,0,0,0,0,0,942,21767,0,0,260,8556,0,0,0,0,0,105,50456,0,0,758,3100,0,0,0,0,0,32,39729,0,0,611,9608,0,0,0,0,0,118,43666,0,0,674,0,0,0,0,0,0,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8624,0,125,8337,0,100,62714,0,0,0,0,0,940,21352,0,0,258,8423,0,0,0,0,0,104,49684,0,0,756,3170,0,0,0,0,0,33,39065,0,0,610,9459,0,0,0,0,0,117,43034,0,0,673,0,0,0,0,0,0,0,"0"
15287,0,208,8450,0,104,4725,0,63,3100,0,32,8662,0,126,8156,0,96,64511,0,0,0,0,0,969,21528,0,0,259,8450,0,0,0,0,0,104,51443,0,0,784,3100,0,0,0,0,0,32,40881,0,0,639,9678,0,0,0,0,0,119,44748,0,0,701,0,0,0,0,0,0,0,"0"
15293,0,208,8451,0,104,4725,0,63,3100,0,32,2756,0,51,8271,1,99,61869,0,0,0,0,0,926,21244,0,0,256,8451,0,0,0,0,0,104,48769,0,0,741,3100,0,0,0,0,0,32,38271,0,0,597,9393,0,0,0,0,0,116,42100,0,0,658,0,0,0,0,0,0,0,"0"
15433,0,210,8344,0,103,4725,0,63,3100,0,32,8662,0,126,8288,0,98,62895,0,0,0,0,0,944,21352,0,0,257,8344,0,0,0,0,0,103,49840,0,0,759,3100,0,0,0,0,0,32,39437,0,0,616,9608,0,0,0,0,0,118,43374,0,0,679,0,0,0,0,0,0,0,"0"
15147,0,206,8555,0,105,4725,0,63,3100,0,32,8696,0,126,8337,1,100,67218,0,0,0,0,0,1011,21414,0,0,258,8555,0,0,0,0,0,105,54046,0,0,825,3100,0,0,0,0,0,32,43319,0,0,678,9459,0,0,0,0,0,117,47290,0,0,741,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,1930,0,41,7985,0,95,65917,0,0,0,0,0,992,21287,0,0,256,8345,0,0,0,0,0,103,53006,0,0,809,3100,0,0,0,0,0,32,42601,0,0,666,9542,0,0,0,0,0,117,46394,0,0,727,0,0,0,0,0,0,0,"0"
15452,0,210,8556,0,105,4725,0,63,3100,0,32,6182,0,94,8502,0,101,61273,0,0,0,0,0,915,21145,0,0,254,8556,0,0,0,0,0,105,48466,0,0,734,3100,0,0,0,0,0,32,37739,0,0,587,9189,0,0,0,0,0,113,41428,0,0,646,0,0,0,0,0,0,0,"0"
12780,2,174,6822,1,84,4680,2,62,3544,1,32,6936,2,101,6472,1,77,43513,0,0,0,0,0,514,25593,0,0,284,8246,0,0,0,0,0,102,37737,0,0,400,4953,0,0,0,0,0,50,29657,0,0,288,8492,0,0,0,0,0,105,31823,0,0,326,0,0,0,0,0,0,0,"0"
15130,0,206,8499,0,105,4725,0,63,3100,0,32,8734,0,127,8486,1,101,31058,0,0,0,0,0,425,21787,0,0,261,8415,0,0,0,0,0,104,18208,0,0,241,3170,0,0,0,0,0,33,7873,0,0,99,9612,0,0,0,0,0,118,11882,0,0,163,0,0,0,0,0,0,0,"0"
